meal_name,cuisine,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min
Article Pasta,Mexican,Snack,Paleo,232,18.8,74.5,7.0,20.1,14.8,1433,116,431,Grilled,23,81
Or Soup,Chinese,Breakfast,Balanced,874,44.6,80.3,34.8,21.2,42.0,1904,225,415,Raw,44,27
Property Pasta,Italian,Dinner,Vegetarian,815,47.8,124.9,10.2,4.8,45.5,387,44,399,Steamed,13,60
Occur Pasta,Japanese,Dinner,Balanced,608,27.1,143.4,4.0,3.9,11.4,1841,86,424,Fried,58,11
Include Pasta,Japanese,Dinner,Vegan,1150,67.0,25.4,57.5,2.7,9.2,268,3,314,Baked,53,32
Discussion Sandwich,American,Lunch,Paleo,293,63.3,131.8,56.1,20.6,32.4,2407,18,298,Fried,23,53
Above Rice,Mediterranean,Dinner,Low-Carb,591,24.3,66.3,54.2,21.3,7.7,1489,288,473,Baked,23,92
Tonight Wrap,Italian,Dinner,Vegetarian,339,56.2,141.8,42.9,18.9,22.4,1436,181,277,Fried,47,57
Building Sandwich,Thai,Dinner,Vegetarian,949,27.5,119.6,59.0,8.6,4.6,1364,182,199,Baked,51,110
Suddenly Salad,Mexican,Dinner,Paleo,711,20.7,46.0,38.8,1.6,4.1,116,275,413,Raw,51,118
Management Rice,Indian,Snack,Keto,904,11.7,102.8,22.6,19.9,48.6,2379,20,492,Baked,48,90
Learn Curry,Mediterranean,Lunch,Low-Carb,526,54.1,79.5,23.1,28.8,43.7,2161,16,146,Fried,10,20
Executive Soup,Japanese,Breakfast,Keto,1017,5.2,145.9,44.1,2.1,14.7,2286,169,444,Grilled,38,9
Father Curry,Mediterranean,Breakfast,Paleo,847,61.0,51.7,45.8,17.3,21.1,1443,0,429,Raw,25,38
Show Curry,Thai,Snack,Vegan,810,79.7,91.7,0.4,25.9,32.2,1123,254,309,Fried,35,8
Claim Sandwich,Mediterranean,Breakfast,Low-Carb,961,47.0,109.1,14.0,28.1,21.1,2128,71,404,Fried,41,110
Animal Pasta,Chinese,Lunch,Vegan,972,48.3,0.1,16.3,14.8,13.0,318,113,313,Raw,39,115
Child Soup,Italian,Lunch,Vegetarian,669,76.7,39.1,14.6,20.9,24.4,731,103,320,Baked,18,110
Other Pasta,Japanese,Snack,Vegan,143,73.3,94.5,15.7,24.1,13.0,348,215,439,Grilled,44,85
Give Pasta,Japanese,Dinner,Vegetarian,1197,49.1,135.8,3.1,25.2,1.3,1696,120,244,Fried,57,9
Phone Stew,Indian,Snack,Low-Carb,348,48.3,10.8,4.0,7.4,27.4,1247,101,109,Roasted,54,44
There Curry,Chinese,Lunch,Vegetarian,969,19.4,26.8,9.3,11.5,19.7,1267,48,445,Raw,9,40
Article Wrap,Thai,Snack,Paleo,958,52.3,142.7,9.8,13.3,29.6,1433,7,119,Roasted,25,15
Next Pasta,Indian,Lunch,Paleo,471,30.4,68.1,11.8,28.5,13.8,1736,63,291,Fried,42,78
Art Soup,Italian,Breakfast,Balanced,1122,56.3,112.3,44.6,22.8,16.1,673,127,307,Boiled,47,120
Top Salad,Chinese,Breakfast,Low-Carb,340,21.5,58.9,14.3,10.1,46.8,716,97,403,Boiled,51,104
Sure Curry,Mexican,Breakfast,Balanced,841,17.7,101.0,52.1,5.3,41.9,377,184,449,Roasted,17,99
West Stew,Thai,Lunch,Low-Carb,538,59.9,12.3,26.2,5.4,39.3,1086,283,341,Grilled,39,39
Must Pasta,American,Snack,Vegetarian,1180,77.6,90.2,24.4,24.0,13.6,2126,244,402,Baked,39,100
Town Wrap,Italian,Snack,Vegan,232,67.8,109.8,6.6,16.1,32.3,1478,105,117,Steamed,60,48
Maintain Rice,Italian,Snack,Vegetarian,705,32.1,28.4,41.0,16.5,30.2,1702,154,271,Raw,52,118
Possible Pasta,Chinese,Dinner,Low-Carb,970,30.8,59.3,53.3,6.2,11.5,128,275,160,Steamed,57,19
Network Wrap,Indian,Breakfast,Low-Carb,502,64.4,49.0,23.6,28.6,42.7,1019,6,471,Baked,21,53
Paper Pasta,American,Snack,Keto,344,42.2,96.4,55.9,28.8,43.8,1228,166,233,Fried,46,73
Within Curry,American,Lunch,Paleo,1016,64.1,26.2,27.6,1.5,38.4,1209,155,408,Steamed,60,49
Boy Pasta,Chinese,Lunch,Vegan,210,47.8,86.5,22.4,24.9,16.9,1633,45,373,Boiled,53,92
Imagine Rice,Italian,Lunch,Paleo,1094,77.3,12.7,10.9,29.1,48.4,2141,182,345,Boiled,18,46
For Wrap,Indian,Breakfast,Low-Carb,857,51.4,92.4,26.1,10.4,13.1,443,197,317,Baked,42,67
For Curry,Japanese,Breakfast,Paleo,194,25.4,48.2,58.8,8.5,8.4,1844,35,452,Fried,19,20
Test Curry,Italian,Dinner,Vegan,711,47.4,24.2,2.2,1.3,44.1,1627,220,463,Baked,8,71
Religious Rice,Italian,Dinner,Paleo,960,52.5,44.8,4.9,4.3,27.1,1964,36,145,Fried,29,79
Do Curry,Mexican,Lunch,Vegan,1177,34.9,2.1,4.1,7.7,45.8,102,15,289,Roasted,58,17
Attention Curry,Chinese,Snack,Low-Carb,685,68.6,54.2,49.2,6.6,41.9,363,165,296,Steamed,55,82
Country Salad,Chinese,Snack,Balanced,836,57.6,120.7,54.0,18.3,4.8,131,71,386,Fried,42,40
Series Wrap,Japanese,Snack,Paleo,329,35.8,86.8,52.7,29.8,40.6,838,29,410,Roasted,49,90
Now Wrap,American,Breakfast,Balanced,152,45.7,109.6,16.8,19.3,37.2,1704,232,216,Raw,11,113
Who Pasta,American,Snack,Balanced,1101,75.4,147.7,24.4,13.0,20.5,2017,222,238,Fried,9,23
Yeah Sandwich,Italian,Snack,Vegan,1072,65.7,92.5,0.7,3.4,39.3,1215,107,432,Baked,45,54
On Salad,Thai,Snack,Keto,842,75.8,140.2,40.3,21.9,31.2,958,193,419,Roasted,58,34
Realize Stew,American,Lunch,Keto,245,72.1,76.8,31.8,8.1,31.3,1912,228,499,Steamed,29,36
Score Stew,Mexican,Lunch,Low-Carb,883,7.5,49.1,42.2,9.5,33.0,110,172,260,Raw,59,58
Themselves Stew,Mediterranean,Breakfast,Paleo,186,32.9,52.1,45.1,26.8,10.7,500,107,284,Grilled,24,68
Issue Wrap,American,Dinner,Low-Carb,884,61.6,41.3,32.4,2.5,2.5,2465,247,186,Baked,20,52
We Rice,Thai,Lunch,Vegetarian,188,74.5,88.2,55.9,17.5,14.9,1791,140,447,Steamed,31,63
Garden Soup,Indian,Lunch,Balanced,770,49.5,80.0,26.0,3.2,40.5,229,148,474,Boiled,34,69
Would Pasta,Japanese,Snack,Paleo,426,56.0,35.7,46.2,29.0,34.9,216,259,154,Boiled,28,105
Way Sandwich,Thai,Dinner,Vegan,138,59.0,73.6,14.0,13.4,9.1,1036,297,347,Raw,57,62
Step Stew,Chinese,Dinner,Keto,207,17.2,7.1,49.6,30.0,23.3,1152,262,207,Roasted,32,37
Join Salad,Mediterranean,Dinner,Balanced,545,63.2,16.9,37.4,8.4,16.9,1930,127,117,Raw,9,64
Feel Soup,Mediterranean,Breakfast,Vegan,549,47.7,83.4,57.0,11.5,1.9,1953,299,350,Raw,15,108
Full Rice,Japanese,Snack,Vegetarian,769,62.0,8.2,38.9,12.4,35.0,1703,55,131,Fried,18,96
Effect Wrap,Indian,Snack,Paleo,436,7.0,130.1,29.6,0.3,2.1,655,245,482,Fried,42,103
Drug Rice,Indian,Dinner,Vegan,832,47.3,44.0,40.0,5.0,43.2,2129,212,400,Raw,55,7
As Soup,Japanese,Snack,Keto,877,71.3,94.1,53.2,28.7,3.1,1839,215,405,Boiled,58,106
Standard Wrap,Mediterranean,Snack,Keto,1118,59.8,135.5,49.7,15.7,7.4,757,111,145,Fried,30,61
Under Salad,Mediterranean,Lunch,Vegetarian,1051,77.9,138.6,27.5,24.6,31.7,600,99,302,Steamed,31,46
Wife Wrap,American,Snack,Vegan,828,69.9,69.1,9.4,13.1,5.9,862,273,170,Grilled,27,48
Everything Stew,Italian,Snack,Keto,494,63.8,68.4,37.6,17.3,42.9,877,16,308,Steamed,29,42
Floor Salad,Mediterranean,Snack,Vegan,349,19.2,99.9,3.7,6.5,35.3,1080,229,364,Raw,32,83
Gas Curry,Italian,Lunch,Paleo,437,26.0,129.1,13.6,7.7,22.4,318,163,385,Raw,55,49
Rather Sandwich,Italian,Snack,Low-Carb,881,38.4,27.9,40.7,11.8,39.8,801,8,156,Steamed,35,71
Many Wrap,Mexican,Lunch,Keto,865,73.4,67.7,10.0,11.0,2.1,1488,76,485,Raw,39,36
Ground Pasta,Indian,Snack,Vegan,608,27.0,126.8,35.1,19.3,3.9,213,146,146,Steamed,56,46
Of Pasta,Indian,Dinner,Vegetarian,879,73.7,137.7,42.0,9.3,12.0,2209,201,444,Fried,15,52
Might Sandwich,Chinese,Lunch,Balanced,865,16.4,37.8,5.9,26.0,0.2,1367,28,378,Baked,43,74
Show Wrap,Thai,Snack,Vegan,232,34.2,135.4,43.6,8.9,12.0,331,133,393,Boiled,12,27
Practice Pasta,Thai,Dinner,Balanced,1048,47.3,49.8,36.3,23.3,16.8,1669,108,374,Baked,25,49
Recognize Curry,Mexican,Dinner,Vegetarian,1063,31.9,141.7,41.4,12.8,34.3,312,150,318,Boiled,12,46
White Pasta,Mexican,Breakfast,Vegan,787,51.4,48.3,21.2,17.5,25.8,1696,287,491,Boiled,15,83
Probably Rice,Chinese,Dinner,Paleo,883,19.4,48.9,6.4,25.4,27.0,2359,243,363,Raw,7,34
Price Rice,Mexican,Breakfast,Keto,1115,45.0,15.2,37.8,14.8,42.5,1863,199,156,Steamed,59,89
Head Stew,Mexican,Breakfast,Low-Carb,374,18.1,6.7,4.0,15.0,42.3,572,13,156,Steamed,11,65
Participant Soup,Indian,Breakfast,Vegan,565,53.2,30.8,15.1,27.4,4.5,2452,160,273,Steamed,43,57
Sit Pasta,American,Breakfast,Vegan,1025,58.7,50.4,37.9,20.1,24.0,1020,2,353,Grilled,22,37
Near Sandwich,Chinese,Breakfast,Keto,346,55.7,57.6,9.3,18.4,2.3,1581,212,236,Roasted,24,64
Article Curry,Mediterranean,Lunch,Low-Carb,846,33.9,145.5,40.4,20.4,34.1,502,237,312,Roasted,10,46
Report Pasta,Mediterranean,Breakfast,Balanced,333,37.6,25.4,42.7,12.7,18.2,113,52,205,Baked,12,15
Indeed Rice,Thai,Dinner,Paleo,808,29.1,78.7,58.9,19.2,38.4,288,63,388,Raw,42,76
Door Sandwich,Mexican,Snack,Vegan,300,32.7,120.8,27.9,23.7,41.8,793,259,495,Grilled,28,98
Guess Stew,Thai,Snack,Keto,1132,72.1,136.6,44.2,3.8,23.4,406,166,129,Roasted,11,104
Small Curry,Mexican,Lunch,Keto,956,53.9,24.7,54.3,3.9,32.6,1472,106,262,Fried,28,57
While Soup,American,Snack,Vegetarian,733,55.9,31.3,15.9,6.1,46.1,1230,17,338,Grilled,32,8
Pm Stew,Mediterranean,Snack,Balanced,152,44.3,9.2,46.3,1.9,40.2,790,91,487,Raw,49,61
Run Curry,Japanese,Dinner,Paleo,449,15.9,27.7,25.4,11.3,41.5,1834,166,339,Boiled,39,23
Girl Soup,Mediterranean,Lunch,Low-Carb,1127,34.1,61.6,42.8,22.6,6.9,1327,92,233,Fried,26,24
Base Rice,Chinese,Lunch,Vegetarian,356,18.8,48.2,49.3,27.6,16.0,1306,52,126,Roasted,29,36
Result Salad,Japanese,Lunch,Balanced,1116,8.4,38.4,57.0,22.9,16.6,1701,214,234,Roasted,35,11
Firm Rice,Indian,Breakfast,Vegetarian,215,55.6,58.4,56.6,9.0,22.4,1669,231,291,Steamed,27,43
Reflect Pasta,Italian,Lunch,Paleo,129,11.8,117.7,55.9,26.3,30.7,882,287,438,Baked,24,59
Sure Sandwich,Thai,Breakfast,Paleo,120,24.5,74.4,10.6,2.6,7.4,1436,299,352,Steamed,57,26
High Soup,Mexican,Dinner,Low-Carb,595,67.1,83.9,11.6,3.8,48.0,1938,166,310,Boiled,46,87
Strong Sandwich,Chinese,Snack,Balanced,450,24.7,77.2,53.2,0.5,28.6,1315,292,185,Grilled,48,106
Care Salad,Chinese,Breakfast,Keto,623,78.8,30.2,43.7,14.4,41.8,1707,18,140,Raw,51,109
Game Stew,Indian,Breakfast,Vegetarian,1175,60.2,31.3,22.0,25.7,26.3,2065,142,377,Steamed,56,78
Cultural Rice,Chinese,Snack,Paleo,517,77.7,55.9,47.6,26.0,19.8,2010,248,313,Fried,60,88
Piece Rice,American,Snack,Keto,541,23.6,96.5,47.4,7.2,12.8,1304,4,409,Baked,36,19
Tell Rice,Chinese,Snack,Paleo,282,31.5,99.7,7.4,11.5,2.8,2381,87,239,Fried,53,95
Former Pasta,Italian,Lunch,Balanced,307,76.0,118.7,34.7,19.1,5.8,1448,16,248,Roasted,39,43
Read Pasta,Mexican,Snack,Vegan,227,7.0,105.4,7.8,25.3,35.0,1182,227,254,Fried,40,109
Enjoy Soup,Indian,Dinner,Keto,390,10.5,129.9,44.7,22.0,23.2,1937,58,348,Roasted,15,8
Today Wrap,American,Breakfast,Paleo,918,56.5,119.9,28.8,5.1,9.0,1377,226,422,Grilled,56,23
Fight Wrap,Mexican,Breakfast,Balanced,313,63.8,128.8,34.8,8.2,24.3,2020,250,233,Grilled,7,51
Book Wrap,Thai,Breakfast,Keto,353,59.2,92.8,30.2,8.3,31.7,456,167,182,Steamed,48,62
Group Salad,Indian,Breakfast,Vegetarian,863,22.3,72.4,56.5,4.6,8.3,2164,300,196,Steamed,48,16
Artist Sandwich,Mexican,Lunch,Low-Carb,239,74.3,103.4,52.6,25.1,44.4,114,100,141,Boiled,57,24
Everyone Salad,Italian,Snack,Vegan,759,46.4,52.6,0.9,11.9,34.2,1594,18,247,Grilled,30,57
Without Pasta,Thai,Breakfast,Vegetarian,885,8.5,122.0,58.5,10.9,46.8,1500,286,268,Baked,12,59
Society Pasta,American,Breakfast,Vegetarian,646,17.6,67.3,23.4,5.1,20.1,716,188,222,Steamed,40,84
Control Salad,Chinese,Dinner,Balanced,312,74.5,16.3,24.7,0.8,23.8,1921,119,100,Fried,34,46
Billion Salad,Indian,Breakfast,Balanced,255,23.9,80.4,6.6,25.5,27.7,406,275,367,Baked,39,39
Movie Stew,Thai,Dinner,Keto,340,75.0,16.5,40.5,11.6,25.8,793,137,263,Baked,42,111
Example Pasta,American,Breakfast,Keto,420,19.0,41.6,13.0,23.8,1.9,257,51,200,Raw,12,28
Four Soup,Japanese,Lunch,Vegan,188,35.8,64.4,55.0,16.3,35.7,1294,90,103,Roasted,59,65
Truth Salad,Indian,Lunch,Balanced,882,67.5,75.9,2.0,21.4,23.7,1430,250,398,Baked,56,58
Continue Sandwich,Japanese,Breakfast,Keto,213,14.3,54.2,8.0,10.0,28.3,704,33,326,Roasted,54,60
Conference Pasta,Japanese,Lunch,Paleo,486,18.9,113.5,28.5,17.9,45.2,961,126,135,Baked,58,30
Gas Stew,Japanese,Snack,Low-Carb,621,48.8,62.8,43.7,8.5,40.3,2364,152,284,Roasted,42,27
Really Stew,Mexican,Breakfast,Keto,252,42.9,82.3,48.1,20.7,36.5,1877,53,281,Fried,52,16
International Rice,American,Breakfast,Vegetarian,937,34.5,95.8,32.9,8.2,19.5,1624,94,258,Baked,60,52
Determine Salad,American,Breakfast,Low-Carb,1100,76.3,57.9,52.6,28.0,28.2,1414,164,160,Roasted,11,99
Mr Curry,Thai,Snack,Vegan,704,8.5,89.0,45.1,5.0,21.0,601,281,442,Boiled,55,118
Rule Wrap,American,Lunch,Low-Carb,890,61.9,28.5,57.5,9.1,20.7,920,51,287,Boiled,58,38
Should Curry,Chinese,Dinner,Vegan,368,7.7,134.2,48.4,7.3,10.4,1044,125,428,Baked,36,29
Seven Sandwich,Mediterranean,Lunch,Low-Carb,384,51.4,81.4,1.6,25.3,1.4,2227,219,300,Boiled,32,83
Section Sandwich,Italian,Lunch,Balanced,379,51.4,133.0,1.1,12.4,3.6,364,153,196,Raw,58,90
Scientist Stew,American,Snack,Paleo,486,20.8,64.2,34.2,6.4,45.9,1444,178,388,Raw,21,94
Force Salad,Chinese,Dinner,Low-Carb,144,14.0,141.8,3.7,24.5,33.7,684,110,304,Steamed,39,10
Role Wrap,Mediterranean,Dinner,Balanced,994,7.1,26.2,13.5,12.6,33.5,489,100,459,Boiled,44,52
Defense Rice,Thai,Snack,Keto,293,6.4,108.2,30.9,14.1,0.6,1824,79,369,Fried,11,70
Three Salad,American,Breakfast,Balanced,386,34.0,75.3,51.7,13.9,40.0,996,160,224,Grilled,60,79
Night Wrap,Italian,Lunch,Vegan,138,21.2,44.8,22.3,20.6,9.7,2271,102,344,Fried,45,113
Red Curry,Chinese,Snack,Low-Carb,155,14.7,146.7,42.8,10.8,29.3,772,29,161,Steamed,44,62
Without Curry,Japanese,Lunch,Keto,872,44.8,104.1,52.5,10.2,25.0,1044,69,237,Steamed,52,30
Country Soup,Thai,Lunch,Paleo,484,62.9,147.6,27.2,28.4,10.0,447,287,169,Fried,56,118
Along Pasta,Mediterranean,Lunch,Vegan,110,70.7,125.5,54.1,14.0,15.9,203,145,131,Boiled,58,110
Late Wrap,American,Lunch,Paleo,1037,11.4,148.5,50.9,16.0,35.9,1463,162,318,Steamed,5,45
North Rice,Mexican,Breakfast,Paleo,606,16.4,99.7,39.3,18.8,3.2,1053,284,395,Boiled,51,17
Drug Salad,American,Breakfast,Balanced,696,23.8,105.9,58.4,16.0,47.5,723,7,172,Raw,43,19
Good Wrap,Thai,Breakfast,Vegan,556,60.1,127.0,29.6,0.7,12.2,1235,224,468,Baked,6,45
Investment Soup,Indian,Lunch,Vegetarian,454,25.0,60.7,49.8,15.7,2.2,104,204,142,Grilled,10,44
Left Curry,Italian,Breakfast,Keto,159,17.9,129.4,49.0,14.0,17.6,739,239,462,Raw,18,16
Chair Sandwich,Thai,Breakfast,Vegan,1117,44.5,93.3,42.5,5.8,22.5,384,110,377,Baked,42,87
Decision Rice,Mediterranean,Dinner,Paleo,533,11.9,24.9,30.5,12.7,11.2,1034,130,296,Baked,11,79
Debate Pasta,Indian,Lunch,Paleo,770,9.3,44.2,12.9,27.7,18.0,666,116,349,Boiled,43,112
Town Wrap,Italian,Lunch,Vegan,226,77.2,69.6,18.9,6.2,16.6,422,44,497,Steamed,44,116
Avoid Pasta,Indian,Snack,Low-Carb,203,18.6,63.2,24.0,20.3,3.5,483,250,337,Baked,37,92
South Wrap,Mediterranean,Lunch,Paleo,161,29.4,72.1,48.1,20.7,12.4,833,148,270,Roasted,48,111
Just Curry,Thai,Snack,Vegetarian,894,71.8,7.8,20.8,26.0,26.3,2235,138,123,Baked,56,94
Wide Pasta,Indian,Breakfast,Paleo,842,67.8,144.4,51.0,26.6,25.8,1684,100,450,Boiled,49,29
Explain Sandwich,Japanese,Lunch,Balanced,137,32.6,143.3,50.8,4.6,45.3,626,82,216,Roasted,28,5
Have Curry,Thai,Breakfast,Vegetarian,633,5.2,149.4,30.4,25.5,39.7,1377,124,428,Grilled,14,46
Executive Pasta,Indian,Dinner,Balanced,768,73.3,111.5,24.6,29.7,40.9,2411,259,108,Steamed,10,102
Sit Wrap,Japanese,Breakfast,Vegan,1200,78.8,58.4,33.8,17.9,8.8,880,237,107,Steamed,22,107
Somebody Rice,Italian,Breakfast,Low-Carb,806,56.4,74.4,5.0,8.7,17.6,570,157,125,Baked,38,97
Believe Wrap,Indian,Breakfast,Balanced,150,42.1,65.1,0.5,10.9,15.9,89,232,417,Boiled,34,42
Ever Soup,Indian,Snack,Balanced,480,13.2,123.4,41.9,19.0,7.4,1434,109,209,Baked,57,72
Congress Salad,Thai,Breakfast,Paleo,721,40.9,123.8,33.3,27.9,38.5,951,277,200,Steamed,46,36
Include Salad,Chinese,Dinner,Vegetarian,1095,38.2,63.3,35.3,0.3,20.9,204,120,457,Steamed,30,37
Whom Sandwich,Italian,Dinner,Paleo,241,19.3,44.0,25.6,1.2,15.8,2428,232,353,Fried,26,67
Analysis Stew,American,Lunch,Vegetarian,994,67.6,48.9,20.2,17.2,4.8,610,127,297,Roasted,21,94
Agreement Curry,Indian,Breakfast,Balanced,393,60.4,131.5,12.5,2.8,47.7,1143,109,157,Baked,23,73
Stuff Wrap,Indian,Lunch,Vegan,493,60.6,73.1,38.3,11.3,43.9,1382,176,337,Fried,18,20
Sell Sandwich,Chinese,Dinner,Vegan,943,44.8,6.3,41.4,19.3,31.6,619,187,323,Boiled,21,107
Guess Soup,Thai,Lunch,Keto,544,31.3,92.6,10.0,26.4,44.5,615,139,198,Boiled,47,10
Measure Pasta,American,Lunch,Balanced,807,30.7,29.6,4.3,9.6,41.4,2323,148,209,Baked,57,9
Require Sandwich,Thai,Snack,Balanced,796,24.4,135.9,12.6,7.5,46.5,109,290,428,Fried,32,26
Wrong Salad,Mediterranean,Dinner,Low-Carb,653,44.3,135.7,32.9,28.5,33.1,442,107,178,Grilled,55,9
Across Wrap,Indian,Dinner,Low-Carb,831,54.5,11.8,59.0,12.6,32.3,2045,101,221,Grilled,42,75
Will Curry,Mexican,Lunch,Balanced,1175,44.2,70.8,51.1,29.4,37.5,1626,287,179,Steamed,56,105
Draw Salad,Mediterranean,Snack,Balanced,503,57.4,27.6,45.7,17.3,7.7,2284,39,495,Baked,36,104
Place Stew,Italian,Lunch,Low-Carb,1104,76.0,6.2,47.7,25.4,16.2,122,287,340,Roasted,43,107
Station Curry,Italian,Snack,Low-Carb,672,52.1,17.9,35.3,13.4,17.9,2443,164,127,Grilled,49,20
Buy Sandwich,Mediterranean,Lunch,Keto,649,78.9,96.6,3.2,11.2,13.5,1413,75,206,Roasted,50,44
Turn Curry,Thai,Lunch,Vegetarian,921,23.8,95.6,4.5,8.2,25.6,258,274,429,Roasted,34,36
Maintain Salad,Chinese,Lunch,Vegetarian,1142,20.2,123.9,13.4,0.8,31.4,203,0,267,Roasted,60,61
Management Soup,Thai,Breakfast,Paleo,423,6.2,144.1,12.4,28.7,18.3,2489,264,210,Baked,41,19
Through Stew,Indian,Dinner,Keto,906,21.9,53.6,4.2,23.6,18.8,328,219,117,Fried,31,14
Arrive Salad,Japanese,Breakfast,Vegetarian,321,57.0,9.9,36.2,24.9,48.8,620,95,210,Baked,25,13
Production Rice,Thai,Dinner,Keto,707,7.9,121.3,57.4,24.6,10.5,1984,175,173,Steamed,20,105
Form Pasta,Italian,Dinner,Keto,1038,16.0,77.3,4.4,25.3,37.4,271,241,119,Roasted,49,33
Organization Salad,Japanese,Breakfast,Balanced,106,36.7,106.4,38.8,17.5,16.6,926,281,400,Fried,38,73
Recent Salad,Chinese,Breakfast,Balanced,551,67.7,137.1,28.8,7.4,10.3,1187,49,393,Fried,33,100
Understand Wrap,Chinese,Dinner,Paleo,1146,8.8,68.9,58.1,16.9,43.2,1269,186,315,Fried,47,48
Report Rice,Mediterranean,Snack,Low-Carb,1041,59.2,75.3,54.9,26.9,15.8,396,124,155,Boiled,32,8
Finally Stew,Chinese,Breakfast,Balanced,641,74.9,27.2,14.6,21.4,4.8,1507,68,493,Roasted,10,18
Detail Curry,American,Snack,Keto,986,41.9,28.2,29.6,18.0,11.7,1439,266,296,Roasted,55,24
Mrs Stew,Japanese,Lunch,Vegetarian,592,74.3,25.6,28.8,29.2,19.7,1721,41,420,Raw,47,66
Short Pasta,Mexican,Breakfast,Low-Carb,756,21.0,27.7,43.1,25.3,49.6,746,291,415,Fried,19,26
Employee Rice,Japanese,Breakfast,Paleo,357,55.5,39.1,53.1,8.0,0.7,1117,274,488,Raw,33,19
Situation Pasta,Chinese,Dinner,Vegan,480,72.6,11.3,33.5,4.8,40.6,180,83,407,Baked,55,79
Week Rice,Chinese,Snack,Vegan,710,49.5,41.4,39.5,20.0,42.4,604,266,395,Baked,39,15
Song Rice,Chinese,Lunch,Paleo,575,45.2,23.3,45.2,23.1,4.8,1695,293,484,Roasted,25,35
Plant Wrap,Mediterranean,Snack,Paleo,154,15.9,32.1,4.2,11.4,15.4,1032,232,225,Grilled,14,16
Develop Pasta,Japanese,Breakfast,Vegetarian,238,23.2,77.3,17.6,0.1,30.1,1447,136,178,Boiled,52,68
Wrong Sandwich,Indian,Breakfast,Keto,692,60.8,74.4,50.1,22.0,29.5,1622,87,422,Fried,25,110
For Rice,Mediterranean,Breakfast,Paleo,347,64.9,26.7,38.2,22.0,0.6,2168,263,197,Fried,60,37
Town Stew,Chinese,Lunch,Low-Carb,1035,68.9,96.4,2.2,9.3,16.4,759,17,357,Grilled,6,32
Ahead Wrap,American,Lunch,Vegan,404,20.8,128.3,12.1,1.8,10.9,1434,246,151,Raw,39,30
Finally Salad,Mediterranean,Breakfast,Vegan,762,8.4,73.0,26.2,18.3,13.4,713,4,183,Steamed,9,114
Change Wrap,Italian,Lunch,Low-Carb,731,19.8,62.1,20.8,8.0,5.5,1648,252,324,Raw,23,99
Evidence Sandwich,Chinese,Dinner,Vegetarian,778,74.1,106.5,55.9,23.7,33.4,658,142,259,Steamed,22,24
Wear Rice,American,Snack,Keto,376,51.0,136.0,4.9,4.4,8.1,1118,97,124,Baked,57,79
Southern Salad,Mexican,Dinner,Vegetarian,768,28.0,30.7,57.7,29.2,26.9,1049,186,273,Roasted,58,53
Race Curry,Italian,Breakfast,Vegetarian,461,18.9,89.9,3.3,26.5,26.0,759,292,373,Raw,20,27
Us Pasta,Italian,Breakfast,Vegan,112,73.8,15.9,51.4,11.6,1.1,1603,8,228,Boiled,33,29
Explain Salad,Thai,Dinner,Low-Carb,995,54.9,22.1,16.3,16.2,1.8,2389,111,466,Grilled,21,58
Sound Curry,American,Dinner,Balanced,282,65.4,148.3,52.7,23.7,30.0,2116,215,268,Boiled,14,56
Wall Salad,Mediterranean,Lunch,Vegan,294,11.8,12.9,52.4,8.0,34.5,1560,185,370,Fried,35,88
Doctor Sandwich,Mediterranean,Breakfast,Balanced,703,31.2,55.9,36.4,15.7,16.2,2088,82,101,Fried,50,111
World Wrap,Japanese,Dinner,Vegan,337,74.1,121.2,17.2,23.2,44.1,930,195,252,Raw,41,19
Agency Rice,Japanese,Breakfast,Low-Carb,585,42.1,23.6,46.1,20.2,37.4,2298,184,290,Baked,46,119
Indicate Curry,Mexican,Breakfast,Balanced,984,39.3,80.1,23.8,15.2,34.9,345,156,148,Steamed,11,118
Allow Curry,Indian,Snack,Vegetarian,112,12.0,122.8,27.5,26.4,42.7,933,225,331,Fried,39,83
Center Soup,Italian,Snack,Vegan,1094,48.8,46.9,16.4,3.9,17.4,1955,265,117,Roasted,45,18
Trip Sandwich,Mexican,Lunch,Vegan,193,47.6,65.7,43.8,22.4,10.8,1166,0,499,Steamed,43,22
Hot Stew,Mexican,Lunch,Low-Carb,1137,54.3,28.8,29.9,18.0,8.1,1823,231,134,Baked,27,103
Executive Curry,Thai,Dinner,Balanced,942,34.9,129.1,47.3,15.1,32.3,340,119,251,Fried,60,60
Us Salad,American,Snack,Keto,132,31.4,38.2,23.4,13.9,23.5,674,39,139,Roasted,56,115
Consumer Salad,Indian,Snack,Balanced,602,75.4,11.7,43.9,26.0,4.6,359,281,160,Fried,8,66
Person Wrap,Chinese,Lunch,Vegetarian,125,28.1,102.8,27.6,1.1,16.1,2303,52,324,Roasted,21,60
He Rice,Chinese,Lunch,Vegan,457,48.1,77.9,55.6,23.2,26.6,1726,7,142,Raw,39,16
Sense Salad,Japanese,Lunch,Low-Carb,382,64.7,116.0,15.3,9.2,33.0,623,16,271,Steamed,55,107
Thought Pasta,Thai,Dinner,Keto,1100,7.5,89.1,19.4,28.5,16.7,2215,207,223,Roasted,31,82
Always Salad,Indian,Snack,Vegan,477,64.1,118.9,49.5,28.9,4.0,917,18,476,Roasted,54,92
