,title,ingredients,directions,NER
1185,Shrimp Casserole,"[""2 lb. shrimp"", ""3/4 c. butter"", ""1 medium bell pepper"", ""1 can cream of chicken soup"", ""1 chopped onion"", ""1 can onion soup"", ""2 c. raw rice"", ""1 can Ro-Tel""]","[""Melt butter and saute pepper and onion."", ""Add peeled shrimp, soup, tomatoes, salt, pepper and rice."", ""Pour into a greased casserole dish."", ""Bake at 350\u00b0, covered, for 2 hours.""]","[""cream of chicken soup"", ""bell pepper"", ""onion soup"", ""onion"", ""ro-tel"", ""rice"", ""shrimp"", ""butter""]"
1186,Most Requested Chocolate Cake,"[""4 eggs"", ""1-2/3 cups granulated sugar"", ""1 tsp. vanilla"", ""2 cups flour"", ""1-1/3 cups water"", ""1 cup MIRACLE WHIP or MIRACLE WHIP Light Dressing Family Dollar $3.50 thru 02/07"", ""2/3 cup unsweetened cocoa powder"", ""1-1/4 tsp. baking soda"", ""1/4 tsp. CALUMET Baking Powder"", ""6 Tbsp. butter or margarine"", ""1 tsp. vanilla"", ""1 pkg. (16 oz.) powdered sugar"", ""3/4 cup unsweetened cocoa powder"", ""1/2 cup milk""]","[""Heat oven to 350F."", ""Grease and flour 2 (9-inch) round cake pans."", ""Line bottom of pans with wax paper."", ""Beat eggs, granulated sugar and vanilla with electric mixer on medium speed until light and fluffy."", ""Blend in flour, water, dressing, cocoa, baking soda and baking powder."", ""Pour batter into prepared pans."", ""Bake 30 to 35 minutes or until toothpick inserted in center comes out clean."", ""Cool 10 minutes; remove from pans."", ""Immediately remove wax paper."", ""Cool completely on wire racks."", ""Beat butter and vanilla."", ""Add combined powdered sugar and cocoa alternately with milk, beating well after each addition."", ""Frost cake.""]","[""baking powder"", ""vanilla"", ""granulated sugar"", ""eggs"", ""baking soda"", ""powdered sugar"", ""water"", ""flour"", ""cocoa"", ""milk"", ""butter"", ""cocoa powder""]"
1187,Italian Baked Chicken,"[""1/2 c. butter or margarine"", ""1/2 c. Italian salad dressing"", ""1/4 c. lemon juice"", ""1/4 c. Worcestershire sauce"", ""2 cloves garlic, crushed"", ""2 whole chicken breasts, split"", ""salt and pepper""]","[""Combine first 5 ingredients in a medium saucepan."", ""Cook over medium heat until butter melts."", ""Place chicken in a 12 x 8 x 2-inch baking dish."", ""Sprinkle with salt and pepper."", ""Pour sauce over chicken."", ""Bake, uncovered, at 325\u00b0 for 1 hour until tender. Serves 4.""]","[""chicken breasts"", ""lemon juice"", ""italian salad dressing"", ""garlic"", ""butter"", ""worcestershire sauce"", ""salt""]"
1188,Jamaican Saltfish Fritters (Stamp And Go),"[""6 ounces dried salted cod fish"", ""cold water, to cover"", ""1 cup all-purpose flour"", ""1 teaspoon baking powder"", ""2 teaspoons ground black pepper"", ""1/2 cup water"", ""1 large tomato, chopped"", ""2 green onions, chopped"", ""vegetable oil for frying""]","[""Soak the cod in cold water overnight to rehydrate it and remove excess salt (or see Cook's Note)."", ""Remove any bones and skin. Flake and shred the fish into small pieces and set aside."", ""Sift flour, baking powder, and pepper into a large bowl. Add the diced tomatoes, green onions, and flaked cod. Pour in 1/2 cup water and stir until everything is blended."", ""Heat 1/4 inch of oil in a large heavy skillet over medium heat. When the oil is hot, drop rounded spoonfuls of batter into the skillet. Fry on each side until golden brown and crisp, about 5 minutes per side. Drain on paper towels and serve hot.""]","[""tomato"", ""cod fish"", ""baking powder"", ""green onions"", ""water"", ""cold water"", ""flour"", ""ground black pepper"", ""vegetable oil""]"
1189,Orange Creamsicle Cake,"[""1 (18 ounce) package orange cake mix, prepared according to directions"", ""3 eggs (or as called for by your cake mix)"", ""1/3 cup oil (or as called for by your cake mix)"", ""1 1/3 cups water (or as called for by your cake mix)"", ""3 ounces orange Jell-O"", ""1 cup boiling water"", ""3 ounces instant vanilla pudding"", ""1 cup cold milk"", ""8 ounces Cool Whip""]","[""Mix and bake the orange cake mix in a 9x13 pan according to directins."", ""While the cake is still warm, poke holes in the cake with the end of a wooden spoon or a skewer."", ""Mix the box of orange Jello with the boiling water. Pour over cake when Jello is dissolved."", ""Refrigerate the cake while you prepare the topping."", ""Mix the instant pudding and milk until pudding thickens."", ""Fold in the Cool Whip."", ""When the cake has cooled, spread the Cool Whip/pudding frosting on the cake."", ""Refigerate cake until ready to serve.""]","[""oil"", ""orange cake"", ""eggs"", ""water"", ""vanilla pudding"", ""o"", ""boiling water"", ""cold milk""]"
1190,Date And Nut Cookies,"[""2/3 c. shortening"", ""1 1/2 c. brown sugar"", ""3 eggs"", ""2 c. flour"", ""1/4 tsp. salt"", ""1 tsp. baking soda"", ""1 c. chopped nuts (walnuts or pecans)"", ""2 c. chopped dates""]","[""Mix all together."", ""Bake at 350\u00b0 for 10 to 15 minutes.""]","[""shortening"", ""brown sugar"", ""eggs"", ""baking soda"", ""flour"", ""nuts"", ""dates"", ""salt""]"
1191,Ursula'S Candied Sweet Potatoes,"[""5 medium sweet potatoes"", ""1 stick butter"", ""pinch of salt"", ""1 Tbsp. cinnamon sugar or 1 tsp. pure cinnamon"", ""1 c. brown sugar"", ""1 c. dark Karo syrup""]","[""Peel potatoes."", ""Cut in strips twice the size of a French fry. Use a heavy saucepan."", ""Almost cover with water; put lid on loose. Cook 10 minutes."", ""Take cover off."", ""Add butter, salt, cinnamon and sugar."", ""Cook 1 hour slow on medium heat."", ""Add Karo syrup."", ""Cook 1 more hour."", ""Occasionally give saucepan a good shake to keep from sticking."", ""Never stir!"", ""The longer you cook, the better they are!""]","[""cinnamon sugar"", ""brown sugar"", ""syrup"", ""sweet potatoes"", ""butter"", ""salt""]"
1192,Best Of Bridge Danish Glogg,"[""1 (26 ounce) bottle red wine"", ""1 cup brandy"", ""1 (12 ounce) bottle beer"", ""1 orange, rind on,thinly sliced (seeds discarded)"", ""1 slice lemon"", ""3/4 cup white sugar"", ""3 whole cinnamon sticks"", ""1 tablespoon whole cloves"", ""1 cup raisins"", ""1/3 cup slivered almonds""]","[""Using cheesecloth, make a spice bag with the cinnamon and cloves; tie tightly with kitchen string."", ""Combine all ingredients in a large pot, bring to a boil, then simmer for 90 minutes, covered."", ""Remove lemon slice and orange slices, and spice bag, before serving.""]","[""red wine"", ""raisins"", ""orange"", ""whole cloves"", ""white sugar"", ""almonds"", ""lemon"", ""cinnamon sticks"", ""brandy""]"
1193,7 Layer Dip,"[""2 cup chopped romaine lettuce"", ""2 avocados; mashed well"", ""1 cup sour cream"", ""2/3 cup black beans"", ""1/2 cup diced tomatoes"", ""1/2 cup Shredded cheddar cheese""]","[""Spread chopped romaine lettuce at the bottom of a large bowl"", ""Add avocado layer on top and smooth out with a spoon to even height"", ""Spoon sow cream layer and Smooth if necessary"", ""Layer black beans, then diced tomatoes on top"", ""Sprinkle cheese and add olives as needed on top""]","[""sour cream"", ""black beans"", ""tomatoes"", ""romaine lettuce"", ""cheddar cheese"", ""avocados""]"
1194,Chicken Casserole,"[""1 chicken, removed from bones"", ""2 c. noodles, cooked"", ""1 lb. cheese"", ""1 can mushroom soup"", ""1 diced onion"", ""chicken broth"", ""cracker crumbs (to cover top)""]","[""Cook noodles in chicken broth."", ""Drain."", ""Cut cheese in 1 inch squares."", ""Mix with all other ingredients."", ""Cover with cracker crumbs and bake in 400\u00b0 to 450\u00b0 oven until casserole is hot and crumbs are golden brown.""]","[""noodles"", ""onion"", ""mushroom soup"", ""cracker crumbs"", ""cheese"", ""chicken broth"", ""chicken""]"
1195,Baked French Toast,"[""23 cup low fat cottage cheese"", ""14 cup skim milk"", ""2 tablespoons sugar"", ""1 large egg"", ""1 large egg white"", ""12 teaspoon vanilla"", ""4 slices whole wheat bread (or oatmeal, or other whole grain bread)""]","[""Preheat oven to 425."", ""In a food processor or blender, whirl the cottagecheese, milk, sugar, egg, egg white, and vanilla for about 1 minute or until smooth."", ""Transfer the mixture to a shallow dish, place the bread in it, and let stand for 10 minutes."", ""Spray a baking sheet with cooking spray generously."", ""Place it in the preheat oven for about 7 minutes."", ""Remove the baking sheet from the oven, place the bread on it, and bake for 6minutes."", ""Turn the bread over and bake 5 to 6 minutes longer or until golden brown."", ""Serve with no sugar added jam.""]","[""egg white"", ""egg"", ""sugar"", ""vanilla"", ""cottage cheese"", ""whole wheat bread"", ""milk""]"
1196,Cabbage Casserole,"[""1 head cabbage, shredded"", ""1 pkg. Lipton onion soup mix"", ""1 bottle French dressing""]","[""Put shredded cabbage in slow cooker after mixing with onion soup mix and French dressing."", ""Cook until cabbage is done.""]","[""cabbage"", ""onion soup""]"
1197,Grilled Spicy Corn,"[""2 tablespoons butter or 2 tablespoons margarine, melted"", ""4 ears corn, with husks"", ""1 tablespoon taco seasoning mix or 1 tablespoon lemon pepper""]","[""Heat coals or gas grill for direct heat."", ""Mix butter and taco seasoning mix."", ""Carefully pull back husk of each ear of corn; remove silk."", ""Spread butter mixture over corn."", ""Pull husks back over ears; tie husks securely with thin piece of husk or string."", ""Cover and grill corn on medium heat for 20 to 30 minutes, turning frequently, until tender.""]","[""corn"", ""taco seasoning mix"", ""butter""]"
1198,"Caramel Pralines(Choudrant, Louisiana)  ","[""3 c. sugar"", ""1 c. heavy cream or undiluted evaporated milk"", ""3 Tbsp. butter"", ""1/2 tsp. salt"", ""3 c. pecan halves"", ""2 tsp. vanilla""]","[""Caramelize 1 cup sugar in heavy iron skillet."", ""Cook over very low heat until sugar turns to syrup."", ""While sugar is melting, place other 2 cups of sugar, milk, butter and salt in heavy saucepan."", ""Bring to boiling point."", ""Very slowly pour syrup from skillet into other ingredients, stirring constantly."", ""Be sure to turn heat to low before starting the pouring."", ""Cook until good firm ball stage (drop a bit of mixture into cool water to test firmness)."", ""Cool slightly."", ""Add vanilla and pecan halves."", ""Stir until mixture loses gloss."", ""Drop by tablespoon onto wax paper.""]","[""sugar"", ""vanilla"", ""heavy cream"", ""pecan halves"", ""butter"", ""salt""]"
1199,Dixieland Huevos Rancheros,"[""2 tablespoons olive oil"", ""1 cup onion, chopped"", ""2 garlic cloves, minced"", ""12 cup dried pinto bean"", ""12 teaspoon chili powder"", ""salt, to taste"", ""cracked black pepper, to taste"", ""12 cup green pepper, chopped"", ""1 -3 teaspoon serrano pepper, minced (how much kick do you want)"", ""2 cups tomatoes, chopped"", ""1 teaspoon oregano"", ""2 tablespoons fresh cilantro, chopped, plus a few whole leaves"", ""14 cup water"", ""12 teaspoon hot pepper sauce (Tabasco, Tapatio, Franks Red Hot, etc.)"", ""12 cup cornmeal"", ""13 cup all-purpose flour"", ""1 teaspoon baking powder"", ""14 teaspoon salt"", ""12 cup milk"", ""2 tablespoons butter, melted"", ""5 eggs, divided"", ""12 cup cheese, shredded Mexican blend""]","[""Soak beans overnight or boil 3 minutes then cover and let stand 1 hour."", ""Drain beans and cover with fresh water."", ""Boil until tender, about 1 1/2 hours."", ""Drain beans and reserve liquid."", ""In a medium skillet saute onion and garlic in oil until tender, about 5 minute."", ""Remove 3 tablespoons of the onion/garlic mixture and combine it with the beans."", ""Add chili powder and mash beans until smooth adding reserved liquid as necessary."", ""Season with salt and pepper."", ""Add peppers to the remaining onion mixture and saute another few minutes."", ""Add tomatoes, oregano, cilantro, water and pepper sauce."", ""Cover and simmer 15 minutes."", ""Whisk together flour, baking powder and salt."", ""Whisk together milk, butter and 1 egg."", ""Add milk mixture to cornmeal mixture and mix until blended."", ""Let batter rest 5 minutes."", ""Pour about 1/4 the batter onto lightly greased skillet to make 4 diameter cakes."", ""Cook over medium heat until lightly browned, about 3 minutes each side."", ""Carefully break remaining 4 eggs into simmering sauce, keeping them apart."", ""Cover and cook until eggs are set and yolks are the way you prefer, about 4-8 min, soft-hard."", ""Cover corn cake with beans, top with egg and some sauce."", ""Sprinkle cheese over the tops and broil briefly."", ""Garnish with cilantro leaves and serve."", ""There is a lot of overlap in cooking times."", ""You could knock the time down with prepared salsa and refried beans, but why?""]","[""tomatoes"", ""eggs"", ""chili powder"", ""cheese"", ""hot pepper"", ""butter"", ""water"", ""cracked black pepper"", ""cornmeal"", ""serrano pepper"", ""onion"", ""flour"", ""milk"", ""green pepper"", ""fresh cilantro"", ""olive oil"", ""salt"", ""oregano"", ""baking powder"", ""pinto bean"", ""garlic""]"
1200,Grown-Up Birthday Cake,"[""yellow cake"", ""2 1/2 cups AP flour"", ""1/2 teaspoon salt"", ""2 1/4 teaspoons baking powder"", ""2 cups granulated sugar"", ""4 eggs"", ""1 teaspoon vanilla"", ""1 cup white wine"", ""1 cup olive oil"", ""7 ounces raspberry jam, preferably homemade, but I used Bonne Maman"", ""bittersweet chocolate buttercream icing"", ""1/2 cup unsalted butter, softened"", ""1 cup confectioners sugar"", ""1/2 cup Dutch processed cocoa"", ""1/4 cup whole milk"", ""1 teaspoon vanilla""]","[""Preheat oven to 350\u00b0 F."", ""Butter and lightly flour 2 nine-inch cake pans."", ""Sift together flour, salt, and baking powder. Set aside."", ""In a standing mixer, blend sugar and eggs on med-high for a minute. Slowly mix in vanilla, wine, and oil."", ""Gently fold dry ingredients into cake batter until smooth."", ""Pour batter into prepared pans and bake for 25-30 minutes until cake tester comes out clean. Cool on wire racks."", ""Spread jam on one layer; then top with the other. Frost top layer with icing (recipe below)."", ""Blend butter and sugar. Fold in cocoa and gradually add milk until it starts to look like icing. Mix in vanilla.""]","[""yellow cake"", ""baking powder"", ""sugar"", ""vanilla"", ""unsalted butter"", ""milk"", ""eggs"", ""raspberry"", ""flour"", ""bittersweet chocolate buttercream icing"", ""dutch"", ""white wine"", ""confectioners sugar"", ""olive oil"", ""salt""]"
1201,Poached Eggs In Catsup,"[""2 tablespoons butter or 2 tablespoons margarine"", ""1/4 cup catsup"", ""4 eggs"", ""4 slices buttered toast""]","[""Melt butter and catsup in skillet till HOT."", ""Break eggs into catsup mixture separately; cover with tight fitting lid and cook on LOW heat till desired doneness is reached."", ""Remove with slotted turner and place on buttered toast."", ""2 servings.""]","[""catsup"", ""eggs"", ""buttered toast"", ""butter""]"
1202,Biscotti Croccanti,"[""1 lb. 2 oz. flour (500 grams)"", ""9 oz. powdered sugar (220 grams)"", ""3 Tbsp. butter (30 grams)"", ""5 eggs"", ""almonds, peeled (whole or sliced)"", ""pinch of aniseed"", ""pinch of salt""]","[""Butter and flour 2 cookie sheets."", ""Preheat oven at 350\u00b0. Leave almonds for last."", ""Put all other ingredients in a bowl, mix and knead to form a soft dough."", ""Add almonds and kneed."", ""Divide dough in 4 parts."", ""Makes 4 loaves, 1/2-inch high."", ""Bake until golden."", ""Cool.""]","[""aniseed"", ""eggs"", ""powdered sugar"", ""flour"", ""almonds"", ""butter"", ""salt""]"
1203,Matt’S Matzo Ball Soup,"[""2 whole Carrots Rough Chopped"", ""3 stalks Celery, Rough Chopped"", ""1 whole Large Onion, Rough Chopped"", ""3 whole Chicken Legs, Skin-on"", ""2 whole Chicken Thighs, Skin On"", ""1 package Matzo Ball Mix, 4-5 Ounce Box"", ""2 whole Eggs"", ""1/4 cups Vegetable Oil"", ""1 Tablespoon Vegetable Oil"", ""3 cloves Garlic, Minced"", ""1 whole Onion, Diced"", ""2 whole Carrots, Diced"", ""2 stalks Celery, Diced"", ""1 quart Prepared Low-sodium Chicken Broth"", ""1 Tablespoon Fresh Thyme, Chopped"", ""5 pinches Salt To Taste"", ""5 pinches Black Pepper To Taste""]","[""Rough chop 2 carrots, 3-4 ribs celery, and 1 onion, and place in a 4-6 quart stock pot or Dutch oven with chicken pieces. Add enough water to fill the cooking vessel to about an inch below the top. Bring to boil, reduce to simmer, and cook for about 30 minutes."", ""Remove chicken from stock pot with a slotted spoon, place in a metal container & put in freezer to cool quickly for about 10 minutes (stock should continue to cook for another 15-20 minutes)."", ""While chicken is cooling, prepare 1 package of matzo ball mix according to directions on the box - ours calls for 2 eggs and 1/4 cup vegetable oil. Matzo dough will be sticky, so keep hands wet while you are forming your matzo balls, which should be no larger than a ping-pong ball. Matzo balls will get bigger as they cook."", ""Remove chicken from freezer. Remove meat from bones, discarding the waste - fat, tendons, bones, skin, etc. (Note: in our house, this is the point that the dogs get VERY excited because they are spoiled rotten and get all the scraps - except the bones, of course.) Rough chop or shred the chicken meat and reserve."", ""Strain stock and discard (in our case, compost) the rough-chopped veggies. Return strained stock to cooking pot & bring to boil. Add matzo balls to the boiling stock, then reduce heat to simmer & cook for 30 minutes. When they are done cooking, remove matzo balls with slotted spoon; cover and reserve. At this point, remove all liquid from your cooking pot & reserve."", ""Add 1 Tablespoon of oil to now-empty cooking pot and turn heat to medium. Add garlic and saute for about 90 seconds. Add onion, carrot, celery, and season with salt and pepper. Saute until vegetables are translucent, 3-5 minutes."", ""Add reserved stock plus 1 quart of prepared chicken broth to the sauteing vegetables and bring to boil. After it has boiled, simmer for about 30 minutes (liquid will reduce during this time)."", ""Finally, add reserved matzo balls, chicken meat, thyme, and salt and pepper to taste. Continue to simmer until matzo balls are warmed through, about 10 minutes. Right before serving, check seasoning for the last time, adding any additional salt and pepper to taste.""]","[""mix"", ""black pepper"", ""fresh thyme"", ""eggs"", ""stalks celery"", ""\u00bc"", ""onion"", ""vegetable oil"", ""chicken broth"", ""carrots"", ""garlic"", ""chicken"", ""salt""]"
1204,Banana Beet (Quinoa Flour) Bread,"[""1 whole Large Golden Beet"", ""2 whole Ripe Bananas"", ""2 whole Eggs"", ""1/4 cups Coconut Milk"", ""1 Tablespoon Olive Oil"", ""2 teaspoons Vanilla Extract"", ""1/4 teaspoons Salt"", ""1 cup Quinoa Flour"", ""2 teaspoons Cinnamon"", ""1/2 teaspoons Ground Nutmeg"", ""1/2 cups Honey (optional)"", ""1/2 cups Chopped Walnuts (optional)""]","[""Preheat your oven to 350\u00b0F and lightly oil a bread loaf pan. In a medium-sized sauce pan, bring water to a boil. Cut the beet in half, place in the boiling water and cook for 5 minutes. Remove beet from boiling water and allow it to cool. Once it is cool enough to touch, peel it and grate it."", ""Peel the bananas and place them in a mixing bowl. Mash the bananas using a fork. Add eggs, coconut milk, olive oil, vanilla and mix thoroughly."", ""Add the grated beet and mix. Add the quinoa flour and mix well."", ""Dump in your cinnamon and nutmeg and (you guessed it) mix well. If you are adding honey or a different sweetener and nuts, do so now."", ""Pour the batter into the loaf pan and bake for 40 minutes or until the bread tests clean.""]","[""vanilla"", ""quinoa flour"", ""golden beet"", ""eggs"", ""\u00bc"", ""cinnamon"", ""ground nutmeg"", ""bananas"", ""walnuts"", ""honey"", ""olive oil""]"
1205,Lemon Asparagus Basil Linguine With Shrimp ,"[""1 lb linguine"", ""2 lbs raw shrimp, cleaned and deveined"", ""1 lemon"", ""1 large white onion"", ""3 garlic cloves"", ""1 cup white wine"", ""1 lb asparagus spears, preferably thin, chopped into 1 inch pieces"", ""1 cup fresh basil, chopped"", ""1/2 cup olive oil (as needed)"", ""1/2 tsp red pepper flakes (or to taste)"", ""2 tbsps butter"", ""1 tsp salt (or to taste)""]","[""Fill large pot with salted water and 1 tbsp olive oil, put on to boil."", """", ""Meanwhile, put 1/4 cup olive oil in a separate pan, put on medium-low heat."", """", ""Cut onion in half and slice onion into thin ribbons, add sliced onion to pan and sweat."", """", ""Zest entire lemon over the pan of sweating onions. Cut lemon in half and add the juice of half a lemon."", """", ""Chop garlic cloves finely and add to onion/lemon mixture."", """", ""Add pepper flakes and white wine. Cook until partially reduced."", """", ""Add linguine to boiling water, stir occasionally to keep noodles from sticking together."", """", ""Increase heat to medium, and add chopped asparagus spears to pan. Cook for 3-4 minutes or until cooked but still a little underdone."", """", ""Add shrimp. Stir occasionally until all shrimp are opaque. Take care not to overcook shrimp."", """", ""Add butter, basil and salt. Stir until well incorporated. Turn off heat."", """", ""Check linguine for doneness, drain when al-dente and return to pot. Add a few teaspoons of oil and toss noodles to keep from sticking."", """", ""Add contents of other pan to pot of linguine, stir with pasta fork until totally incorporated."", """", ""Serve family style or in individual bowls, garnish with whole basil leaves or sliced lemon.""]","[""white onion"", ""red pepper"", ""lemon"", ""thin"", ""white wine"", ""shrimp"", ""butter"", ""garlic"", ""linguine"", ""fresh basil"", ""olive oil"", ""salt""]"
1206,Grilled Eggplant Parmesan Recipe,"[""1 large eggplant"", ""3 tbsp olive oil"", ""2 tbsp balsamic vinegar"", ""2 cloves garlic, minced"", ""Sea Salt and Pepper to taste"", ""1 cup pasta sauce"", ""1/2 cup grated Parmesan cheese""]","[""Slice eggplant into 1/2 inch thick portions."", ""Heat your grill on medium-high heat."", ""In a small bowl, mix olive oil, vinegar, garlic, salt and pepper."", ""Brush eggplant slices with mixture."", ""Grill the eggplant for 5 minutes to a side."", ""Don't turn more than once to get nice grill lines."", ""While eggplant is grilling, heat pasta sauce on stove or in microwave."", ""When eggplant is done, place on large platter."", ""Spoon about 1 Tbsp of pasta sauce on each slice and top with about 1 Tbsp of Parmesan cheese."", ""Serve warm!""]","[""pasta sauce"", ""parmesan cheese"", ""balsamic vinegar"", ""eggplant"", ""garlic"", ""olive oil"", ""salt""]"
1207,1-2-3-4 Cake,"[""1 c. butter"", ""2 c. sugar"", ""3 c. flour"", ""4 eggs"", ""3 tsp. baking powder"", ""2 tsp. flavor"", ""1 c. milk""]","[""Cream butter and sugar. Separate eggs. Add the yolks to the mixture; blend well. Add flour and baking powder alternating with milk. Add flavor. Beat egg whites until stiff. Fold into batter. Pour into 9-inch cake pans. Bake at 375\u00b0 until done. Use your favorite frosting.""]","[""baking powder"", ""sugar"", ""flavor"", ""eggs"", ""flour"", ""milk"", ""butter""]"
1208,Decorated Spice Cookies,"[""3 cups flour"", ""2 teaspoons ginger"", ""1 1/2 teaspoons cinnamon"", ""1 teaspoon clove"", ""1 cup margarine"", ""1/2 cup sugar"", ""1/2 cup karo dark corn syrup""]","[""Sift together flour, ginger, cinnamon and cloves."", ""Mix margarine and sugar until fluffy; stir in Karo syrup."", ""Add dry ingredients."", ""DO NOT CHILL DOUGH!"", ""Roll out 1/8\"" thick on floured surface."", ""Cut into shapes."", ""Place on baking sheet."", ""Bake in 350 degree F oven about 10 minutes or until lightly browned."", ""Cool and decorate.""]","[""sugar"", ""ginger"", ""corn syrup"", ""cinnamon"", ""flour"", ""margarine"", ""clove""]"
1209,Makeover Ranch Ham 'n' Cheese Pasta,"[""1 (16 ounce) package penne or 1 (16 ounce) package penne pasta"", ""1 tablespoon butter or 1 tablespoon margarine"", ""1 tablespoon all-purpose flour"", ""1 cup nonfat milk"", ""2 teaspoons dried parsley flakes"", ""1 teaspoon garlic salt"", ""1 teaspoon salt-free lemon pepper"", ""12 teaspoon garlic powder"", ""12 teaspoon dried onion flakes"", ""12 teaspoon dill weed"", ""14 teaspoon onion powder"", ""18 teaspoon pepper"", ""1 cup reduced-fat sour cream"", ""2 cups cubed fully cooked lean ham"", ""1 12 cups shredded reduced-fat Mexican cheese blend"", ""14 cup shredded parmesan cheese""]","[""Cook pasta according to package directions; drain."", ""In a Dutch oven, melt butter; whisk in flour until smooth."", ""Gradually add milk and seasonings."", ""Bring to a boil; cook and stir for 2 minutes or until thickened."", ""Reduce heat; fold in sour cream until blended."", ""Add ham and pasta; cook and stir until heated through."", ""Remove from the heat; stir in Mexican cheese blend until melted."", ""Sprinkle with Parmesan cheese.""]","[""penne"", ""sour cream"", ""dill weed"", ""nonfat milk"", ""pepper"", ""garlic salt"", ""parmesan cheese"", ""onion powder"", ""parsley flakes"", ""flour"", ""onion flakes"", ""garlic"", ""butter"", ""salt""]"
1210,Cinnamon Chips Gems,"[""1 cup margarine, softened"", ""2 (3 ounce) packages cream cheese, softened"", ""2 cups all-purpose flour"", ""12 cup sugar"", ""2 eggs"", ""1 (14 ounce) can sweetened condensed milk"", ""1 teaspoon vanilla extract"", ""1 13 cups cinnamon baking chips (Hershey)""]","[""Beat butter and cream cheese in large bowl until well blended; stir in flour and sugar."", ""Cover; refrigerate 1 hour."", ""Divide dough into 4 equal parts."", ""Shape each in 12 smooth balls."", ""Place each ball into a small muffin cup (1 3/4 in diameter); press evenly on bottom and up side of each cup to form small dough cups."", ""Heat oven to 375F Beat eggs in small bowl."", ""Add sweetened condensed milk and vanilla; mix well."", ""Place 7 cinnamon chips in bottom of each cookie dough cup; fill a generous 3/4 full with sweetened condensed milk mixture."", ""Bake 18 to 20 minutes or until tops are puffed and just beginning to turn golden brown."", ""Cool 3 minutes."", ""Sprinkle about 15 chips on top of each cookie."", ""Store at room temperature.""]","[""condensed milk"", ""sugar"", ""vanilla"", ""eggs"", ""cream cheese"", ""flour"", ""margarine"", ""cinnamon baking chips""]"
1211,Old Kentucky Nut Cake,"[""1/3 c. shortening"", ""1/3 c. butter"", ""2/3 c. sugar"", ""3 eggs"", ""2 2/3 c. flour"", ""2 tsp. baking powder"", ""1 tsp. salt"", ""1 c. milk"", ""1 tsp. vanilla"", ""1 1/3 c. walnuts""]","[""Cream"", ""together shortening, butter and sugar."", ""Add eggs and beat well."", ""Then add flour, baking powder and salt."", ""Stir in milk, vanilla and walnuts."", ""Bake at 350\u00b0.""]","[""sugar"", ""baking powder"", ""vanilla"", ""shortening"", ""eggs"", ""flour"", ""walnuts"", ""milk"", ""butter"", ""salt""]"
1212,Gone All Day Stew,"[""1 1/2 to 2 lb. cubed beef"", ""5 medium potatoes"", ""5 stalks celery"", ""5 medium onions"", ""3 carrots"", ""1 medium head cabbage"", ""1 bay leaf"", ""1 large can tomatoes"", ""1 clove garlic (optional)""]","[""Dice potatoes and onions."", ""Cut celery in 1-inch lengths."", ""Cut up carrots."", ""Slice cabbage in small slices."", ""Add tomatoes, bay leaf and garlic clove."", ""Add 4 cups water."", ""Cook all in large roasting pan (covered) in oven for 4 to 6 hours at 300\u00b0.""]","[""cubed beef"", ""potatoes"", ""tomatoes"", ""stalks celery"", ""clove garlic"", ""head cabbage"", ""carrots"", ""onions"", ""bay leaf""]"
1213,Baklava,"[""10 oz. walnuts, finely chopped"", ""7 oz. almonds, finely chopped"", ""2 1/2 tsp. ground cinnamon"", ""1/4 tsp. ground cloves"", ""1/3 c. sugar"", ""3/4 c. butter, melted"", ""30 sheets filo pastry""]","[""Mix together nuts, cinnamon, cloves and sugar; set aside. Brush 9 x 13-inch pan with melted butter."", ""Line bottom of dish with 10 sheets of filo, brushing each sheet with melted butter. Spread 1/3 of nut mixture evenly on top and cover with another 5 sheets of filo, brushing each sheet with melted butter."", ""Place 1/2 of the remaining mixture on top of filo."", ""Add 5 more sheets of filo."", ""Repeat this step once more, using remainder of filo, brushing each sheet with butter.""]","[""sugar"", ""pastry"", ""ground cloves"", ""walnuts"", ""almonds"", ""ground cinnamon"", ""butter""]"
1214,Cranberry Apple Stuffing,"[""1 pkg. unseasoned croutons"", ""1 c. butter"", ""1 large chopped onion"", ""3 stalks chopped celery"", ""2 medium green apples, peeled and diced"", ""1 can whole berry cranberry sauce"", ""1 c. chopped walnuts"", ""1/2 c. golden raisins"", ""1/4 c. dried apricots, snipped"", ""1/2 tsp. thyme"", ""1/2 tsp. savory"", ""2 tsp. salt"", ""4 eggs, beaten"", ""1/2 c. orange juice""]","[""Heat oven to 325\u00b0."", ""Melt butter in a large skillet."", ""Add onion and celery, stirring often, until cooked tender."", ""Add to croutons and mix."", ""Add remaining ingredients."", ""Stuff bird or spoon into casserole dish."", ""Makes enough for 14 to 16 pound birds.""]","[""golden raisins"", ""green apples"", ""croutons"", ""eggs"", ""onion"", ""celery"", ""thyme"", ""walnuts"", ""orange juice"", ""cranberry sauce"", ""dried apricots"", ""butter"", ""salt""]"
